	Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	platform	protocol	source_name	tissue	output	id
47	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332573	GEO	public	sra	ncbi	SRX2989269	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	37	13	Danio rerio	ILLUMINA	2017-08-07	SRR5810717	SRS2341192	SRP111340	GSM2696136			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810717
48	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332572	GEO	public	sra	ncbi	SRX2989270	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	120	43	Danio rerio	ILLUMINA	2017-08-07	SRR5810718	SRS2341193	SRP111340	GSM2696137			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810718
49	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332571	GEO	public	sra	ncbi	SRX2989271	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	147	52	Danio rerio	ILLUMINA	2017-08-07	SRR5810719	SRS2341194	SRP111340	GSM2696138			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810719
50	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332570	GEO	public	sra	ncbi	SRX2989272	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	24	12	Danio rerio	ILLUMINA	2017-08-07	SRR5810720	SRS2341195	SRP111340	GSM2696139			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810720
51	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332569	GEO	public	sra	ncbi	SRX2989273	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	79	30	Danio rerio	ILLUMINA	2017-08-07	SRR5810721	SRS2341196	SRP111340	GSM2696140			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810721
52	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332568	GEO	public	sra	ncbi	SRX2989274	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	89	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810722	SRS2341197	SRP111340	GSM2696141			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810722
53	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332567	GEO	public	sra	ncbi	SRX2989275	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	87	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810723	SRS2341198	SRP111340	GSM2696142			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810723
54	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332566	GEO	public	sra	ncbi	SRX2989276	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	111	39	Danio rerio	ILLUMINA	2017-08-07	SRR5810724	SRS2341199	SRP111340	GSM2696143			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810724
55	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332565	GEO	public	sra	ncbi	SRX2989277	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	77	30	Danio rerio	ILLUMINA	2017-08-07	SRR5810725	SRS2341200	SRP111340	GSM2696144			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810725
56	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332564	GEO	public	sra	ncbi	SRX2989278	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	108	39	Danio rerio	ILLUMINA	2017-08-07	SRR5810726	SRS2341202	SRP111340	GSM2696145			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810726
57	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332563	GEO	public	sra	ncbi	SRX2989279	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	54	18	Danio rerio	ILLUMINA	2017-08-07	SRR5810727	SRS2341201	SRP111340	GSM2696146			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810727
58	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332562	GEO	public	sra	ncbi	SRX2989280	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	88	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810728	SRS2341204	SRP111340	GSM2696147			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810728
59	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332561	GEO	public	sra	ncbi	SRX2989281	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	68	26	Danio rerio	ILLUMINA	2017-08-07	SRR5810729	SRS2341203	SRP111340	GSM2696148			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810729
60	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332560	GEO	public	sra	ncbi	SRX2989282	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	53	18	Danio rerio	ILLUMINA	2017-08-07	SRR5810730	SRS2341206	SRP111340	GSM2696149			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810730
61	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332559	GEO	public	sra	ncbi	SRX2989283	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	27	12	Danio rerio	ILLUMINA	2017-08-07	SRR5810731	SRS2341205	SRP111340	GSM2696150			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810731
62	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332558	GEO	public	sra	ncbi	SRX2989284	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	83	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810732	SRS2341208	SRP111340	GSM2696151			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810732
63	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332557	GEO	public	sra	ncbi	SRX2989285	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	29	13	Danio rerio	ILLUMINA	2017-08-07	SRR5810733	SRS2341207	SRP111340	GSM2696152			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810733
64	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332556	GEO	public	sra	ncbi	SRX2989286	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	68	29	Danio rerio	ILLUMINA	2017-08-07	SRR5810734	SRS2341209	SRP111340	GSM2696153			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810734
65	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332548	GEO	public	sra	ncbi	SRX2989287	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	81	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810735	SRS2341210	SRP111340	GSM2696154			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810735
66	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332612	GEO	public	sra	ncbi	SRX2989288	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	89	33	Danio rerio	ILLUMINA	2017-08-07	SRR5810736	SRS2341211	SRP111340	GSM2696155			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810736
67	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332611	GEO	public	sra	ncbi	SRX2989289	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	64	24	Danio rerio	ILLUMINA	2017-08-07	SRR5810737	SRS2341212	SRP111340	GSM2696156			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810737
68	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332610	GEO	public	sra	ncbi	SRX2989290	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	71	28	Danio rerio	ILLUMINA	2017-08-07	SRR5810738	SRS2341213	SRP111340	GSM2696157			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810738
69	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332609	GEO	public	sra	ncbi	SRX2989291	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	30	13	Danio rerio	ILLUMINA	2017-08-07	SRR5810739	SRS2341214	SRP111340	GSM2696158			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810739
70	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332555	GEO	public	sra	ncbi	SRX2989292	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	95	40	Danio rerio	ILLUMINA	2017-08-07	SRR5810740	SRS2341215	SRP111340	GSM2696159			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810740
71	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332554	GEO	public	sra	ncbi	SRX2989293	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	9	6	Danio rerio	ILLUMINA	2017-08-07	SRR5810741	SRS2341216	SRP111340	GSM2696160			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810741
72	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332608	GEO	public	sra	ncbi	SRX2989294	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	55	22	Danio rerio	ILLUMINA	2017-08-07	SRR5810742	SRS2341217	SRP111340	GSM2696161			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810742
73	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332607	GEO	public	sra	ncbi	SRX2989295	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	14	7	Danio rerio	ILLUMINA	2017-08-07	SRR5810743	SRS2341218	SRP111340	GSM2696162			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810743
74	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332606	GEO	public	sra	ncbi	SRX2989296	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	81	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810744	SRS2341219	SRP111340	GSM2696163			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810744
75	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332605	GEO	public	sra	ncbi	SRX2989297	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	75	28	Danio rerio	ILLUMINA	2017-08-07	SRR5810745	SRS2341220	SRP111340	GSM2696164			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810745
76	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332604	GEO	public	sra	ncbi	SRX2989298	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	60	23	Danio rerio	ILLUMINA	2017-08-07	SRR5810746	SRS2341221	SRP111340	GSM2696165			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810746
77	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332603	GEO	public	sra	ncbi	SRX2989299	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	85	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810747	SRS2341222	SRP111340	GSM2696166			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810747
78	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332602	GEO	public	sra	ncbi	SRX2989300	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	99	36	Danio rerio	ILLUMINA	2017-08-07	SRR5810748	SRS2341223	SRP111340	GSM2696167			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810748
79	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332601	GEO	public	sra	ncbi	SRX2989301	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	69	27	Danio rerio	ILLUMINA	2017-08-07	SRR5810749	SRS2341224	SRP111340	GSM2696168			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810749
80	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332600	GEO	public	sra	ncbi	SRX2989302	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	99	36	Danio rerio	ILLUMINA	2017-08-07	SRR5810750	SRS2341225	SRP111340	GSM2696169			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810750
81	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332599	GEO	public	sra	ncbi	SRX2989303	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	23	11	Danio rerio	ILLUMINA	2017-08-07	SRR5810751	SRS2341226	SRP111340	GSM2696170			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810751
82	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332598	GEO	public	sra	ncbi	SRX2989304	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	106	38	Danio rerio	ILLUMINA	2017-08-07	SRR5810752	SRS2341227	SRP111340	GSM2696171			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810752
83	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332597	GEO	public	sra	ncbi	SRX2989305	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	6	3	Danio rerio	ILLUMINA	2017-08-07	SRR5810753	SRS2341228	SRP111340	GSM2696172			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810753
84	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332596	GEO	public	sra	ncbi	SRX2989306	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	89	34	Danio rerio	ILLUMINA	2017-08-07	SRR5810754	SRS2341229	SRP111340	GSM2696173			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810754
85	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332595	GEO	public	sra	ncbi	SRX2989307	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	139	48	Danio rerio	ILLUMINA	2017-08-07	SRR5810755	SRS2341231	SRP111340	GSM2696174			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810755
86	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332594	GEO	public	sra	ncbi	SRX2989308	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	6	4	Danio rerio	ILLUMINA	2017-08-07	SRR5810756	SRS2341232	SRP111340	GSM2696175			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810756
87	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332593	GEO	public	sra	ncbi	SRX2989309	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	25	12	Danio rerio	ILLUMINA	2017-08-07	SRR5810757	SRS2341230	SRP111340	GSM2696176			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810757
88	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332592	GEO	public	sra	ncbi	SRX2989310	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	51	20	Danio rerio	ILLUMINA	2017-08-07	SRR5810758	SRS2341233	SRP111340	GSM2696177			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810758
89	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332591	GEO	public	sra	ncbi	SRX2989311	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	83	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810759	SRS2341234	SRP111340	GSM2696178			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810759
90	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332590	GEO	public	sra	ncbi	SRX2989312	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	17	8	Danio rerio	ILLUMINA	2017-08-07	SRR5810760	SRS2341235	SRP111340	GSM2696179			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810760
91	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332589	GEO	public	sra	ncbi	SRX2989313	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	90	33	Danio rerio	ILLUMINA	2017-08-07	SRR5810761	SRS2341237	SRP111340	GSM2696180			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810761
92	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332588	GEO	public	sra	ncbi	SRX2989314	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	35	15	Danio rerio	ILLUMINA	2017-08-07	SRR5810762	SRS2341236	SRP111340	GSM2696181			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810762
93	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332587	GEO	public	sra	ncbi	SRX2989315	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	85	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810763	SRS2341239	SRP111340	GSM2696182			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810763
94	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332586	GEO	public	sra	ncbi	SRX2989316	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	4	2	Danio rerio	ILLUMINA	2017-08-07	SRR5810764	SRS2341238	SRP111340	GSM2696183			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810764
95	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332585	GEO	public	sra	ncbi	SRX2989317	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	85	32	Danio rerio	ILLUMINA	2017-08-07	SRR5810765	SRS2341240	SRP111340	GSM2696184			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810765
96	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332584	GEO	public	sra	ncbi	SRX2989318	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	81	31	Danio rerio	ILLUMINA	2017-08-07	SRR5810766	SRS2341241	SRP111340	GSM2696185			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810766
97	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332553	GEO	public	sra	ncbi	SRX2989319	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	197	67	Danio rerio	ILLUMINA	2017-08-07	SRR5810767	SRS2341242	SRP111340	GSM2696186			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810767
98	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332552	GEO	public	sra	ncbi	SRX2989320	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	141	53	Danio rerio	ILLUMINA	2017-08-07	SRR5810768	SRS2341245	SRP111340	GSM2696187			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810768
99	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332551	GEO	public	sra	ncbi	SRX2989321	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	198	69	Danio rerio	ILLUMINA	2017-08-07	SRR5810769	SRS2341243	SRP111340	GSM2696188			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810769
100	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332550	GEO	public	sra	ncbi	SRX2989322	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	180	65	Danio rerio	ILLUMINA	2017-08-07	SRR5810770	SRS2341244	SRP111340	GSM2696189			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810770
101	RNA-Seq	danRer7	75	PRJNA393431	SAMN07332549	GEO	public	sra	ncbi	SRX2989323	0	NextSeq 500	PAIRED	cDNA	TRANSCRIPTOMIC	2017-07-14	160	61	Danio rerio	ILLUMINA	2017-08-07	SRR5810771	SRS2341247	SRP111340	GSM2696190			Smart-seq	whole kidney marrow	kidney marrow	s3://olgabot-maca/sra/danio_rerio/smart-seq/whole_kidney_marrow_prjna393431/	danio_rerio_smart-seq_whole_kidney_marrow_srr5810771
