Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cd10	cd135	cd34	cd38	cd45ra	cd49f	cd7	cd90	facs_time	fsc_a	fsc_h	fsc_w	genotype	lin	platform	protocol	source_name	ssc_a	ssc_h	ssc_w	strain	tissue	Run_s
RNA-Seq		200	PRJNA304408	SAMN04300485	GEO	public	sra	ncbi	SRX1453941	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	209	143	Homo sapiens	ILLUMINA	2017-01-19	SRR2963061	SRS1182624	SRP066781	GSM1955733		689.0	2433.0	9701.0	-87.0	424.0	2205.0	64.0	6967.0	8609.0	101178.0	100505.0	65975.0		885.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	49513.0	49561.0	65473.0			SRR2963061
RNA-Seq		200	PRJNA304408	SAMN04300495	GEO	public	sra	ncbi	SRX1453942	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	36	25	Homo sapiens	ILLUMINA	2017-01-19	SRR2963062	SRS1182623	SRP066781	GSM1955734		1191.0	1621.0	9012.0	732.0	424.0	918.0	4.0	7115.0	8803.0	119942.0	112280.0	70008.0		911.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	57485.0	53996.0	69771.0			SRR2963062
RNA-Seq		200	PRJNA304408	SAMN04300495	GEO	public	sra	ncbi	SRX1453942	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	39	27	Homo sapiens	ILLUMINA	2017-01-19	SRR2963063	SRS1182623	SRP066781	GSM1955734		1191.0	1621.0	9012.0	732.0	424.0	918.0	4.0	7115.0	8803.0	119942.0	112280.0	70008.0		911.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	57485.0	53996.0	69771.0			SRR2963063
RNA-Seq		200	PRJNA304408	SAMN04300511	GEO	public	sra	ncbi	SRX1453943	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	539	372	Homo sapiens	ILLUMINA	2017-01-19	SRR2963064	SRS1182625	SRP066781	GSM1955735		652.0	1629.0	5367.0	1157.0	78.0	858.0	-115.0	2647.0	9018.0	101366.0	99637.0	66673.0		233.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	47222.0	47253.0	65493.0			SRR2963064
RNA-Seq		200	PRJNA304408	SAMN04300511	GEO	public	sra	ncbi	SRX1453943	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	600	415	Homo sapiens	ILLUMINA	2017-01-19	SRR2963065	SRS1182625	SRP066781	GSM1955735		652.0	1629.0	5367.0	1157.0	78.0	858.0	-115.0	2647.0	9018.0	101366.0	99637.0	66673.0		233.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	47222.0	47253.0	65493.0			SRR2963065
RNA-Seq		200	PRJNA304408	SAMN04300539	GEO	public	sra	ncbi	SRX1453944	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	16	12	Homo sapiens	ILLUMINA	2017-01-19	SRR2963066	SRS1182628	SRP066781	GSM1955736		532.0	1148.0	10654.0	31.0	1328.0	599.0	300.0	3896.0	9247.0	93232.0	90181.0	67753.0		169.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62397.0	59893.0	68276.0			SRR2963066
RNA-Seq		200	PRJNA304408	SAMN04300539	GEO	public	sra	ncbi	SRX1453944	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	16	11	Homo sapiens	ILLUMINA	2017-01-19	SRR2963067	SRS1182628	SRP066781	GSM1955736		532.0	1148.0	10654.0	31.0	1328.0	599.0	300.0	3896.0	9247.0	93232.0	90181.0	67753.0		169.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62397.0	59893.0	68276.0			SRR2963067
RNA-Seq		200	PRJNA304408	SAMN04300555	GEO	public	sra	ncbi	SRX1453945	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	4	3	Homo sapiens	ILLUMINA	2017-01-19	SRR2963068	SRS1182622	SRP066781	GSM1955737		760.0	3472.0	4304.0	950.0	4663.0	3410.0	400.0	29.0	11760.0	102044.0	99361.0	67305.0		502.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62084.0	60293.0	67482.0			SRR2963068
RNA-Seq		200	PRJNA304408	SAMN04300555	GEO	public	sra	ncbi	SRX1453945	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	4	3	Homo sapiens	ILLUMINA	2017-01-19	SRR2963069	SRS1182622	SRP066781	GSM1955737		760.0	3472.0	4304.0	950.0	4663.0	3410.0	400.0	29.0	11760.0	102044.0	99361.0	67305.0		502.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62084.0	60293.0	67482.0			SRR2963069
RNA-Seq		200	PRJNA304408	SAMN04300575	GEO	public	sra	ncbi	SRX1453946	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	34	24	Homo sapiens	ILLUMINA	2017-01-19	SRR2963070	SRS1182621	SRP066781	GSM1955738		1366.0	2352.0	7948.0	721.0	232.0	380.0	-132.0	9543.0	11556.0	101996.0	100749.0	66347.0		770.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	58037.0	58317.0	65222.0			SRR2963070
RNA-Seq		200	PRJNA304408	SAMN04300575	GEO	public	sra	ncbi	SRX1453946	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	32	23	Homo sapiens	ILLUMINA	2017-01-19	SRR2963071	SRS1182621	SRP066781	GSM1955738		1366.0	2352.0	7948.0	721.0	232.0	380.0	-132.0	9543.0	11556.0	101996.0	100749.0	66347.0		770.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	58037.0	58317.0	65222.0			SRR2963071
RNA-Seq		200	PRJNA304408	SAMN04300598	GEO	public	sra	ncbi	SRX1453947	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	68	47	Homo sapiens	ILLUMINA	2017-01-19	SRR2963072	SRS1182620	SRP066781	GSM1955739		700.0	4411.0	16395.0	165.0	383.0	8.0	192.0	389.0	11328.0	100407.0	95841.0	68658.0		232.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	56133.0	58193.0	63216.0			SRR2963072
RNA-Seq		200	PRJNA304408	SAMN04300598	GEO	public	sra	ncbi	SRX1453947	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	70	49	Homo sapiens	ILLUMINA	2017-01-19	SRR2963073	SRS1182620	SRP066781	GSM1955739		700.0	4411.0	16395.0	165.0	383.0	8.0	192.0	389.0	11328.0	100407.0	95841.0	68658.0		232.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	56133.0	58193.0	63216.0			SRR2963073
RNA-Seq		200	PRJNA304408	SAMN04300624	GEO	public	sra	ncbi	SRX1453948	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	67	46	Homo sapiens	ILLUMINA	2017-01-19	SRR2963074	SRS1182618	SRP066781	GSM1955740		622.0	959.0	4426.0	1047.0	227.0	338.0	187.0	1121.0	11135.0	132246.0	125757.0	68918.0		400.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	53257.0	52025.0	67088.0			SRR2963074
RNA-Seq		200	PRJNA304408	SAMN04300624	GEO	public	sra	ncbi	SRX1453948	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	72	50	Homo sapiens	ILLUMINA	2017-01-19	SRR2963075	SRS1182618	SRP066781	GSM1955740		622.0	959.0	4426.0	1047.0	227.0	338.0	187.0	1121.0	11135.0	132246.0	125757.0	68918.0		400.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	53257.0	52025.0	67088.0			SRR2963075
RNA-Seq		200	PRJNA304408	SAMN04300658	GEO	public	sra	ncbi	SRX1453949	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	0	0	Homo sapiens	ILLUMINA	2017-01-19	SRR2963076	SRS1182619	SRP066781	GSM1955741		513.0	5310.0	7323.0	638.0	278.0	1507.0	-32.0	2938.0	10913.0	96974.0	99968.0	63573.0		1082.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	53386.0	56000.0	62477.0			SRR2963076
RNA-Seq		200	PRJNA304408	SAMN04300658	GEO	public	sra	ncbi	SRX1453949	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	0	0	Homo sapiens	ILLUMINA	2017-01-19	SRR2963077	SRS1182619	SRP066781	GSM1955741		513.0	5310.0	7323.0	638.0	278.0	1507.0	-32.0	2938.0	10913.0	96974.0	99968.0	63573.0		1082.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	53386.0	56000.0	62477.0			SRR2963077
RNA-Seq		200	PRJNA304408	SAMN04300684	GEO	public	sra	ncbi	SRX1453950	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	59	41	Homo sapiens	ILLUMINA	2017-01-19	SRR2963078	SRS1182616	SRP066781	GSM1955742		759.0	1445.0	6632.0	286.0	237.0	174.0	212.0	622.0	10698.0	99663.0	99112.0	65900.0		-67.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	56289.0	54796.0	67321.0			SRR2963078
RNA-Seq		200	PRJNA304408	SAMN04300684	GEO	public	sra	ncbi	SRX1453950	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	59	41	Homo sapiens	ILLUMINA	2017-01-19	SRR2963079	SRS1182616	SRP066781	GSM1955742		759.0	1445.0	6632.0	286.0	237.0	174.0	212.0	622.0	10698.0	99663.0	99112.0	65900.0		-67.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	56289.0	54796.0	67321.0			SRR2963079
RNA-Seq		200	PRJNA304408	SAMN04300702	GEO	public	sra	ncbi	SRX1453951	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	255	173	Homo sapiens	ILLUMINA	2017-01-19	SRR2963080	SRS1182617	SRP066781	GSM1955743		861.0	603.0	7984.0	-56.0	-7.0	613.0	-42.0	5461.0	10501.0	108287.0	115808.0	61280.0		0.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62010.0	60576.0	67088.0			SRR2963080
RNA-Seq		200	PRJNA304408	SAMN04300702	GEO	public	sra	ncbi	SRX1453951	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	288	195	Homo sapiens	ILLUMINA	2017-01-19	SRR2963081	SRS1182617	SRP066781	GSM1955743		861.0	603.0	7984.0	-56.0	-7.0	613.0	-42.0	5461.0	10501.0	108287.0	115808.0	61280.0		0.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62010.0	60576.0	67088.0			SRR2963081
RNA-Seq		200	PRJNA304408	SAMN04300717	GEO	public	sra	ncbi	SRX1453952	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	10	7	Homo sapiens	ILLUMINA	2017-01-19	SRR2963082	SRS1182614	SRP066781	GSM1955744		919.0	2859.0	11528.0	186.0	230.0	1308.0	187.0	3717.0	10268.0	120273.0	115109.0	68476.0		1160.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	60017.0	59173.0	66470.0			SRR2963082
RNA-Seq		200	PRJNA304408	SAMN04300717	GEO	public	sra	ncbi	SRX1453952	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	10	7	Homo sapiens	ILLUMINA	2017-01-19	SRR2963083	SRS1182614	SRP066781	GSM1955744		919.0	2859.0	11528.0	186.0	230.0	1308.0	187.0	3717.0	10268.0	120273.0	115109.0	68476.0		1160.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	60017.0	59173.0	66470.0			SRR2963083
RNA-Seq		200	PRJNA304408	SAMN04300745	GEO	public	sra	ncbi	SRX1453953	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	49	34	Homo sapiens	ILLUMINA	2017-01-19	SRR2963084	SRS1182615	SRP066781	GSM1955745		934.0	3766.0	5603.0	946.0	149.0	268.0	198.0	1219.0	10041.0	134679.0	133188.0	66269.0		241.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	55206.0	53636.0	67455.0			SRR2963084
RNA-Seq		200	PRJNA304408	SAMN04300745	GEO	public	sra	ncbi	SRX1453953	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	49	34	Homo sapiens	ILLUMINA	2017-01-19	SRR2963085	SRS1182615	SRP066781	GSM1955745		934.0	3766.0	5603.0	946.0	149.0	268.0	198.0	1219.0	10041.0	134679.0	133188.0	66269.0		241.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	55206.0	53636.0	67455.0			SRR2963085
RNA-Seq		200	PRJNA304408	SAMN04300767	GEO	public	sra	ncbi	SRX1453954	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	51	35	Homo sapiens	ILLUMINA	2017-01-19	SRR2963086	SRS1182613	SRP066781	GSM1955746		754.0	6645.0	6028.0	392.0	376.0	391.0	99.0	1943.0	9849.0	75214.0	89536.0	55053.0		203.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	63192.0	61152.0	67723.0			SRR2963086
RNA-Seq		200	PRJNA304408	SAMN04300767	GEO	public	sra	ncbi	SRX1453954	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	54	37	Homo sapiens	ILLUMINA	2017-01-19	SRR2963087	SRS1182613	SRP066781	GSM1955746		754.0	6645.0	6028.0	392.0	376.0	391.0	99.0	1943.0	9849.0	75214.0	89536.0	55053.0		203.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	63192.0	61152.0	67723.0			SRR2963087
RNA-Seq		200	PRJNA304408	SAMN04300786	GEO	public	sra	ncbi	SRX1453955	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	83	59	Homo sapiens	ILLUMINA	2017-01-19	SRR2963088	SRS1182612	SRP066781	GSM1955747		680.0	6235.0	5090.0	763.0	995.0	727.0	220.0	1231.0	9653.0	113520.0	123648.0	60168.0		-211.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	72299.0	69056.0	68614.0			SRR2963088
RNA-Seq		200	PRJNA304408	SAMN04300786	GEO	public	sra	ncbi	SRX1453955	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	83	59	Homo sapiens	ILLUMINA	2017-01-19	SRR2963089	SRS1182612	SRP066781	GSM1955747		680.0	6235.0	5090.0	763.0	995.0	727.0	220.0	1231.0	9653.0	113520.0	123648.0	60168.0		-211.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	72299.0	69056.0	68614.0			SRR2963089
RNA-Seq		200	PRJNA304408	SAMN04300812	GEO	public	sra	ncbi	SRX1453956	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	35	25	Homo sapiens	ILLUMINA	2017-01-19	SRR2963090	SRS1182611	SRP066781	GSM1955748		759.0	7039.0	4784.0	689.0	4199.0	560.0	345.0	-119.0	9449.0	102094.0	98273.0	68084.0		110.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62168.0	60613.0	67217.0			SRR2963090
RNA-Seq		200	PRJNA304408	SAMN04300812	GEO	public	sra	ncbi	SRX1453956	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	36	26	Homo sapiens	ILLUMINA	2017-01-19	SRR2963091	SRS1182611	SRP066781	GSM1955748		759.0	7039.0	4784.0	689.0	4199.0	560.0	345.0	-119.0	9449.0	102094.0	98273.0	68084.0		110.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62168.0	60613.0	67217.0			SRR2963091
RNA-Seq		200	PRJNA304408	SAMN04300828	GEO	public	sra	ncbi	SRX1453957	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	14	10	Homo sapiens	ILLUMINA	2017-01-19	SRR2963092	SRS1182610	SRP066781	GSM1955749		19614.0	-696.0	7980.0	165.0	8005.0	1274.0	41.0	366.0	11958.0	105295.0	105085.0	65667.0		589.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	43169.0	43689.0	64756.0			SRR2963092
RNA-Seq		200	PRJNA304408	SAMN04300828	GEO	public	sra	ncbi	SRX1453957	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	15	10	Homo sapiens	ILLUMINA	2017-01-19	SRR2963093	SRS1182610	SRP066781	GSM1955749		19614.0	-696.0	7980.0	165.0	8005.0	1274.0	41.0	366.0	11958.0	105295.0	105085.0	65667.0		589.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	43169.0	43689.0	64756.0			SRR2963093
RNA-Seq		200	PRJNA304408	SAMN04300849	GEO	public	sra	ncbi	SRX1453958	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	0	0	Homo sapiens	ILLUMINA	2017-01-19	SRR2963094	SRS1182608	SRP066781	GSM1955750		1630.0	4141.0	9002.0	599.0	2519.0	890.0	490.0	784.0	12207.0	137222.0	132748.0	67745.0		76.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	51859.0	49660.0	68438.0			SRR2963094
RNA-Seq		200	PRJNA304408	SAMN04300849	GEO	public	sra	ncbi	SRX1453958	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	0	0	Homo sapiens	ILLUMINA	2017-01-19	SRR2963095	SRS1182608	SRP066781	GSM1955750		1630.0	4141.0	9002.0	599.0	2519.0	890.0	490.0	784.0	12207.0	137222.0	132748.0	67745.0		76.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	51859.0	49660.0	68438.0			SRR2963095
RNA-Seq		200	PRJNA304408	SAMN04300861	GEO	public	sra	ncbi	SRX1453959	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	205	141	Homo sapiens	ILLUMINA	2017-01-19	SRR2963096	SRS1182607	SRP066781	GSM1955751		733.0	5818.0	5070.0	1029.0	1216.0	1064.0	352.0	1006.0	12411.0	102908.0	99068.0	68076.0		690.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	71796.0	70188.0	67038.0			SRR2963096
RNA-Seq		200	PRJNA304408	SAMN04300861	GEO	public	sra	ncbi	SRX1453959	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	232	159	Homo sapiens	ILLUMINA	2017-01-19	SRR2963097	SRS1182607	SRP066781	GSM1955751		733.0	5818.0	5070.0	1029.0	1216.0	1064.0	352.0	1006.0	12411.0	102908.0	99068.0	68076.0		690.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	71796.0	70188.0	67038.0			SRR2963097
RNA-Seq		200	PRJNA304408	SAMN04300862	GEO	public	sra	ncbi	SRX1453960	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	121	83	Homo sapiens	ILLUMINA	2017-01-19	SRR2963098	SRS1182606	SRP066781	GSM1955752		647.0	4809.0	7252.0	493.0	803.0	615.0	225.0	1126.0	12615.0	116537.0	121157.0	63037.0		-27.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62248.0	58645.0	69562.0			SRR2963098
RNA-Seq		200	PRJNA304408	SAMN04300862	GEO	public	sra	ncbi	SRX1453960	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	133	92	Homo sapiens	ILLUMINA	2017-01-19	SRR2963099	SRS1182606	SRP066781	GSM1955752		647.0	4809.0	7252.0	493.0	803.0	615.0	225.0	1126.0	12615.0	116537.0	121157.0	63037.0		-27.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62248.0	58645.0	69562.0			SRR2963099
RNA-Seq		200	PRJNA304408	SAMN04300863	GEO	public	sra	ncbi	SRX1453961	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	37	25	Homo sapiens	ILLUMINA	2017-01-19	SRR2963100	SRS1182609	SRP066781	GSM1955753		278.0	2239.0	11616.0	468.0	29.0	561.0	346.0	8199.0	12866.0	114157.0	109749.0	68168.0		482.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	53326.0	51905.0	67330.0			SRR2963100
RNA-Seq		200	PRJNA304408	SAMN04300863	GEO	public	sra	ncbi	SRX1453961	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	42	29	Homo sapiens	ILLUMINA	2017-01-19	SRR2963101	SRS1182609	SRP066781	GSM1955753		278.0	2239.0	11616.0	468.0	29.0	561.0	346.0	8199.0	12866.0	114157.0	109749.0	68168.0		482.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	53326.0	51905.0	67330.0			SRR2963101
RNA-Seq		200	PRJNA304408	SAMN04300864	GEO	public	sra	ncbi	SRX1453962	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	615	418	Homo sapiens	ILLUMINA	2017-01-19	SRR2963102	SRS1182605	SRP066781	GSM1955754		893.0	2328.0	9346.0	45.0	293.0	1339.0	451.0	5026.0	13061.0	104056.0	104604.0	65193.0		-117.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62529.0	60716.0	67493.0			SRR2963102
RNA-Seq		200	PRJNA304408	SAMN04300864	GEO	public	sra	ncbi	SRX1453962	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	580	394	Homo sapiens	ILLUMINA	2017-01-19	SRR2963103	SRS1182605	SRP066781	GSM1955754		893.0	2328.0	9346.0	45.0	293.0	1339.0	451.0	5026.0	13061.0	104056.0	104604.0	65193.0		-117.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	62529.0	60716.0	67493.0			SRR2963103
RNA-Seq		200	PRJNA304408	SAMN04300865	GEO	public	sra	ncbi	SRX1453963	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	236	161	Homo sapiens	ILLUMINA	2017-01-19	SRR2963104	SRS1182603	SRP066781	GSM1955755		410.0	6892.0	7241.0	10.0	2950.0	620.0	582.0	269.0	13254.0	113444.0	109240.0	68058.0		290.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	74021.0	77608.0	62507.0			SRR2963104
RNA-Seq		200	PRJNA304408	SAMN04300865	GEO	public	sra	ncbi	SRX1453963	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	270	184	Homo sapiens	ILLUMINA	2017-01-19	SRR2963105	SRS1182603	SRP066781	GSM1955755		410.0	6892.0	7241.0	10.0	2950.0	620.0	582.0	269.0	13254.0	113444.0	109240.0	68058.0		290.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	74021.0	77608.0	62507.0			SRR2963105
RNA-Seq		200	PRJNA304408	SAMN04300866	GEO	public	sra	ncbi	SRX1453964	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	82	55	Homo sapiens	ILLUMINA	2017-01-19	SRR2963106	SRS1182604	SRP066781	GSM1955756		846.0	3572.0	3772.0	399.0	411.0	621.0	97.0	8351.0	13460.0	119524.0	115952.0	67555.0		896.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	56925.0	55536.0	67176.0			SRR2963106
RNA-Seq		200	PRJNA304408	SAMN04300866	GEO	public	sra	ncbi	SRX1453964	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	83	56	Homo sapiens	ILLUMINA	2017-01-19	SRR2963107	SRS1182604	SRP066781	GSM1955756		846.0	3572.0	3772.0	399.0	411.0	621.0	97.0	8351.0	13460.0	119524.0	115952.0	67555.0		896.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	56925.0	55536.0	67176.0			SRR2963107
RNA-Seq		200	PRJNA304408	SAMN04300867	GEO	public	sra	ncbi	SRX1453965	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	0	0	Homo sapiens	ILLUMINA	2017-01-19	SRR2963108	SRS1182602	SRP066781	GSM1955757		699.0	2401.0	6584.0	778.0	221.0	865.0	195.0	1045.0	13664.0	120716.0	116076.0	68156.0		259.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	57736.0	55916.0	67669.0			SRR2963108
RNA-Seq		200	PRJNA304408	SAMN04300867	GEO	public	sra	ncbi	SRX1453965	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	0	0	Homo sapiens	ILLUMINA	2017-01-19	SRR2963109	SRS1182602	SRP066781	GSM1955757		699.0	2401.0	6584.0	778.0	221.0	865.0	195.0	1045.0	13664.0	120716.0	116076.0	68156.0		259.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	57736.0	55916.0	67669.0			SRR2963109
RNA-Seq		200	PRJNA304408	SAMN04300868	GEO	public	sra	ncbi	SRX1453966	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	317	213	Homo sapiens	ILLUMINA	2017-01-19	SRR2963110	SRS1182601	SRP066781	GSM1955758		728.0	910.0	4039.0	841.0	157.0	4.0	-32.0	-128.0	13881.0	114688.0	109408.0	68698.0		496.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	51095.0	50736.0	65999.0			SRR2963110
RNA-Seq		200	PRJNA304408	SAMN04300868	GEO	public	sra	ncbi	SRX1453966	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	353	238	Homo sapiens	ILLUMINA	2017-01-19	SRR2963111	SRS1182601	SRP066781	GSM1955758		728.0	910.0	4039.0	841.0	157.0	4.0	-32.0	-128.0	13881.0	114688.0	109408.0	68698.0		496.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	51095.0	50736.0	65999.0			SRR2963111
RNA-Seq		200	PRJNA304408	SAMN04300869	GEO	public	sra	ncbi	SRX1453967	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2015-11-30	971	662	Homo sapiens	ILLUMINA	2017-01-19	SRR2963112	SRS1182600	SRP066781	GSM1955759		1087.0	2490.0	3936.0	918.0	233.0	511.0	-339.0	450.0	14084.0	83248.0	85851.0	63549.0		482.0		smartseq2_quartzseq	Lin-CD34+CD38- bone marrow	49043.0	48527.0	66233.0			SRR2963112
