Assay_Type	AvgSpotLen	BioProject	BioSample	DATASTORE_filetype	Experiment	LibrarySelection	LoadDate	MBases	MBytes	Run	SRA_Sample	SRA_Study	Sample_Name	cell_type	Center_Name	Consent	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySource	Organism	Platform	ReleaseDate	source_name	tissue
ATAC-seq	152	PRJNA379613	SAMN06614091	sra	SRX2650112	other	2017-03-17	43	14	SRR5353887	SRS2055305	SRP102089	GSM2540809	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614089	sra	SRX2650114	other	2017-03-17	10	2	SRR5353889	SRS2055306	SRP102089	GSM2540811	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614088	sra	SRX2650115	other	2017-03-17	19	5	SRR5353890	SRS2055307	SRP102089	GSM2540812	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614086	sra	SRX2650117	other	2017-03-17	5	2	SRR5353892	SRS2055308	SRP102089	GSM2540814	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614087	sra unknown_contigs	SRX2650116	other	2017-03-17	33	10	SRR5353891	SRS2055309	SRP102089	GSM2540813	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614085	sra unknown_contigs	SRX2650118	other	2017-03-17	25	7	SRR5353893	SRS2055310	SRP102089	GSM2540815	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614084	sra	SRX2650119	other	2017-03-17	15	4	SRR5353894	SRS2055311	SRP102089	GSM2540816	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614081	sra unknown_contigs	SRX2650120	other	2017-03-17	20	5	SRR5353895	SRS2055312	SRP102089	GSM2540817	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613680	sra unknown_contigs	SRX2650121	other	2017-03-17	26	8	SRR5353896	SRS2055313	SRP102089	GSM2540818	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613679	sra	SRX2650122	other	2017-03-17	12	3	SRR5353897	SRS2055314	SRP102089	GSM2540819	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613678	sra unknown_contigs	SRX2650123	other	2017-03-17	24	7	SRR5353898	SRS2055315	SRP102089	GSM2540820	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614083	sra	SRX2650125	other	2017-03-17	10	2	SRR5353900	SRS2055316	SRP102089	GSM2540822	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613677	sra	SRX2650124	other	2017-03-17	17	5	SRR5353899	SRS2055317	SRP102089	GSM2540821	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614082	sra unknown_contigs	SRX2650126	other	2017-03-17	19	5	SRR5353901	SRS2055318	SRP102089	GSM2540823	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613675	sra unknown_contigs	SRX2650128	other	2017-03-17	22	6	SRR5353903	SRS2055319	SRP102089	GSM2540825	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613676	sra	SRX2650127	other	2017-03-17	18	4	SRR5353902	SRS2055320	SRP102089	GSM2540824	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613672	sra	SRX2650131	other	2017-03-17	15	4	SRR5353906	SRS2055321	SRP102089	GSM2540828	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613674	sra unknown_contigs	SRX2650129	other	2017-03-17	18	5	SRR5353904	SRS2055322	SRP102089	GSM2540826	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613670	sra unknown_contigs	SRX2650133	other	2017-03-17	16	5	SRR5353908	SRS2055323	SRP102089	GSM2540830	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613673	sra	SRX2650130	other	2017-03-17	15	4	SRR5353905	SRS2055324	SRP102089	GSM2540827	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613671	sra unknown_contigs	SRX2650132	other	2017-03-17	13	4	SRR5353907	SRS2055325	SRP102089	GSM2540829	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613669	sra	SRX2650134	other	2017-03-17	0	0	SRR5353909	SRS2055326	SRP102089	GSM2540831	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613668	sra unknown_contigs	SRX2650135	other	2017-03-17	15	5	SRR5353910	SRS2055327	SRP102089	GSM2540832	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613667	sra	SRX2650136	other	2017-03-17	20	6	SRR5353911	SRS2055328	SRP102089	GSM2540833	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613783	sra unknown_contigs	SRX2650137	other	2017-03-17	32	10	SRR5353912	SRS2055329	SRP102089	GSM2540834	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613781	sra	SRX2650139	other	2017-03-17	18	5	SRR5353914	SRS2055330	SRP102089	GSM2540836	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613782	sra unknown_contigs	SRX2650138	other	2017-03-17	18	5	SRR5353913	SRS2055331	SRP102089	GSM2540835	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613780	sra unknown_contigs	SRX2650140	other	2017-03-17	26	8	SRR5353915	SRS2055332	SRP102089	GSM2540837	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613779	sra	SRX2650141	other	2017-03-17	11	3	SRR5353916	SRS2055333	SRP102089	GSM2540838	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613778	sra unknown_contigs	SRX2650142	other	2017-03-17	28	9	SRR5353917	SRS2055334	SRP102089	GSM2540839	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613776	sra unknown_contigs	SRX2650144	other	2017-03-17	21	6	SRR5353919	SRS2055335	SRP102089	GSM2540841	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613777	sra	SRX2650143	other	2017-03-17	14	3	SRR5353918	SRS2055336	SRP102089	GSM2540840	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613775	sra unknown_contigs	SRX2650145	other	2017-03-17	22	7	SRR5353920	SRS2055337	SRP102089	GSM2540842	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613774	sra	SRX2650146	other	2017-03-17	12	3	SRR5353921	SRS2055338	SRP102089	GSM2540843	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613773	sra unknown_contigs	SRX2650147	other	2017-03-17	29	9	SRR5353922	SRS2055339	SRP102089	GSM2540844	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613770	sra unknown_contigs	SRX2650150	other	2017-03-17	22	7	SRR5353925	SRS2055340	SRP102089	GSM2540847	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613771	sra unknown_contigs	SRX2650149	other	2017-03-17	25	8	SRR5353924	SRS2055341	SRP102089	GSM2540846	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613769	sra	SRX2650151	other	2017-03-17	31	9	SRR5353926	SRS2055342	SRP102089	GSM2540848	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613772	sra unknown_contigs	SRX2650148	other	2017-03-17	37	12	SRR5353923	SRS2055343	SRP102089	GSM2540845	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613997	sra unknown_contigs	SRX2650153	other	2017-03-17	21	6	SRR5353928	SRS2055344	SRP102089	GSM2540850	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613768	sra unknown_contigs	SRX2650152	other	2017-03-17	19	6	SRR5353927	SRS2055345	SRP102089	GSM2540849	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613996	sra unknown_contigs	SRX2650154	other	2017-03-17	20	5	SRR5353929	SRS2055346	SRP102089	GSM2540851	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613995	sra unknown_contigs	SRX2650155	other	2017-03-17	22	6	SRR5353930	SRS2055347	SRP102089	GSM2540852	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613994	sra	SRX2650156	other	2017-03-17	14	3	SRR5353931	SRS2055348	SRP102089	GSM2540853	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613992	sra	SRX2650158	other	2017-03-17	11	3	SRR5353933	SRS2055349	SRP102089	GSM2540855	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613993	sra unknown_contigs	SRX2650157	other	2017-03-17	29	9	SRR5353932	SRS2055350	SRP102089	GSM2540854	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613991	sra unknown_contigs	SRX2650159	other	2017-03-17	27	9	SRR5353934	SRS2055351	SRP102089	GSM2540856	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614073	sra unknown_contigs	SRX2650160	other	2017-03-17	25	7	SRR5353935	SRS2055352	SRP102089	GSM2540857	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614071	sra unknown_contigs	SRX2650162	other	2017-03-17	37	12	SRR5353937	SRS2055353	SRP102089	GSM2540859	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614072	sra	SRX2650161	other	2017-03-17	23	6	SRR5353936	SRS2055354	SRP102089	GSM2540858	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614070	sra	SRX2650163	other	2017-03-17	21	5	SRR5353938	SRS2055355	SRP102089	GSM2540860	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614066	sra unknown_contigs	SRX2650167	other	2017-03-17	18	5	SRR5353942	SRS2055356	SRP102089	GSM2540864	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614068	sra	SRX2650165	other	2017-03-17	14	3	SRR5353940	SRS2055357	SRP102089	GSM2540862	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614065	sra	SRX2650168	other	2017-03-17	17	4	SRR5353943	SRS2055358	SRP102089	GSM2540865	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614069	sra	SRX2650164	other	2017-03-17	20	5	SRR5353939	SRS2055359	SRP102089	GSM2540861	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614067	sra	SRX2650166	other	2017-03-17	44	14	SRR5353941	SRS2055360	SRP102089	GSM2540863	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614064	sra unknown_contigs	SRX2650169	other	2017-03-17	24	7	SRR5353944	SRS2055361	SRP102089	GSM2540866	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614063	sra	SRX2650170	other	2017-03-17	9	2	SRR5353945	SRS2055362	SRP102089	GSM2540867	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614061	sra	SRX2650172	other	2017-03-17	50	16	SRR5353947	SRS2055363	SRP102089	GSM2540869	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614062	sra unknown_contigs	SRX2650171	other	2017-03-17	20	5	SRR5353946	SRS2055364	SRP102089	GSM2540868	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614059	sra	SRX2650174	other	2017-03-17	49	17	SRR5353949	SRS2055365	SRP102089	GSM2540871	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614058	sra unknown_contigs	SRX2650175	other	2017-03-17	95	32	SRR5353950	SRS2055366	SRP102089	GSM2540872	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614057	sra unknown_contigs	SRX2650176	other	2017-03-17	32	9	SRR5353951	SRS2055367	SRP102089	GSM2540873	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614060	sra unknown_contigs	SRX2650173	other	2017-03-17	27	8	SRR5353948	SRS2055368	SRP102089	GSM2540870	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614053	sra unknown_contigs	SRX2650180	other	2017-03-17	47	17	SRR5353955	SRS2055369	SRP102089	GSM2540877	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614055	sra unknown_contigs	SRX2650178	other	2017-03-17	21	7	SRR5353953	SRS2055370	SRP102089	GSM2540875	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614056	sra	SRX2650177	other	2017-03-17	18	5	SRR5353952	SRS2055371	SRP102089	GSM2540874	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614054	sra unknown_contigs	SRX2650179	other	2017-03-17	30	10	SRR5353954	SRS2055372	SRP102089	GSM2540876	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614052	sra unknown_contigs	SRX2650181	other	2017-03-17	35	13	SRR5353956	SRS2055373	SRP102089	GSM2540878	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613607	sra unknown_contigs	SRX2650183	other	2017-03-17	22	8	SRR5353958	SRS2055374	SRP102089	GSM2540880	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06614051	sra unknown_contigs	SRX2650182	other	2017-03-17	34	12	SRR5353957	SRS2055375	SRP102089	GSM2540879	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613606	sra unknown_contigs	SRX2650184	other	2017-03-17	44	16	SRR5353959	SRS2055376	SRP102089	GSM2540881	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613611	sra unknown_contigs	SRX2650185	other	2017-03-17	33	12	SRR5353960	SRS2055377	SRP102089	GSM2540882	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613609	sra unknown_contigs	SRX2650187	other	2017-03-17	41	15	SRR5353962	SRS2055378	SRP102089	GSM2540884	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613610	sra unknown_contigs	SRX2650186	other	2017-03-17	37	13	SRR5353961	SRS2055379	SRP102089	GSM2540883	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613608	sra unknown_contigs	SRX2650188	other	2017-03-17	33	12	SRR5353963	SRS2055380	SRP102089	GSM2540885	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613604	sra unknown_contigs	SRX2650190	other	2017-03-17	38	13	SRR5353965	SRS2055381	SRP102089	GSM2540887	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613605	sra unknown_contigs	SRX2650189	other	2017-03-17	44	16	SRR5353964	SRS2055382	SRP102089	GSM2540886	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613603	sra unknown_contigs	SRX2650191	other	2017-03-17	26	9	SRR5353966	SRS2055383	SRP102089	GSM2540888	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613602	sra unknown_contigs	SRX2650192	other	2017-03-17	31	10	SRR5353967	SRS2055384	SRP102089	GSM2540889	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613727	sra unknown_contigs	SRX2650196	other	2017-03-17	36	13	SRR5353971	SRS2055385	SRP102089	GSM2540893	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613601	sra unknown_contigs	SRX2650193	other	2017-03-17	34	12	SRR5353968	SRS2055386	SRP102089	GSM2540890	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
ATAC-seq	152	PRJNA379613	SAMN06613600	sra	SRX2650194	other	2017-03-17	34	12	SRR5353969	SRS2055387	SRP102089	GSM2540891	MPP	GEO	public	ncbi	0	NextSeq 500	PAIRED	GENOMIC	Homo sapiens	ILLUMINA	2018-04-29	Bone Marrow CD34+	CD34+ Bone Marrow
